['1', '4980', '佐々木完', '24', '山口', '51', 'A2', '6.49', '43.44', '4.25', '18.75', '83', '23.53', '25', '16.67']
['2', '4905', '土井祥伍', '26', '大阪', '54', 'B1', '4.00', '18.68', '3.74', '14.47', '85', '27.78', '38', '29.41']
['3', '4892', '柴田直哉', '30', '福岡', '52', 'B1', '4.86', '27.52', '6.28', '50.00', '79', '新規', '86', '新規']
['4', '5141', '大澤風葵', '20', '群馬', '51', 'B1', '3.78', '13.75', '4.70', '20.00', '25', '31.58', '93', '新規']
['5', '4925', '森\u3000悠稀', '28', '兵庫', '53', 'B1', '5.45', '37.65', '4.48', '28.00', '75', '新規', '34', '42.11']
['6', '5090', '生方靖亜', '20', '群馬', '52', 'B1', '3.96', '13.73', '0.00', '0.00', '51', '新規', '91', '新規']
['1', '5026', '安河内健', '25', '佐賀', '53', 'A2', '5.68', '40.52', '3.38', '12.50', '35', '31.58', '75', '新規']
['2', '5011', '高木圭大', '23', '長崎', '53', 'B1', '3.63', '14.47', '5.50', '25.00', '27', '46.67', '63', '33.33']
['3', '4948', '木場悠介', '28', '長崎', '51', 'B1', '5.01', '28.83', '3.64', '7.14', '14', '新規', '88', '新規']
['4', '4904', '松本一毅', '26', '大阪', '52', 'B1', '4.64', '25.23', '3.67', '14.29', '71', '17.65', '21', '23.08']
['5', '5008', '羽野\u3000諒', '24', '福岡', '52', 'B1', '3.99', '13.58', '3.31', '0.00', '12', '新規', '83', '新規']
['6', '5142', '常住\u3000蓮', '20', '佐賀', '52', 'B1', '3.54', '9.89', '0.00', '0.00', '70', '35.29', '29', '44.44']
['1', '4910', '中村泰平', '25', '愛知', '52', 'A2', '6.07', '46.61', '6.55', '51.72', '73', '35.00', '56', '11.76']
['2', '4992', '廣瀬篤哉', '23', '滋賀', '57', 'B2', '4.09', '13.92', '3.33', '0.00', '63', '29.41', '16', '33.33']
['3', '5121', '定松勇樹', '19', '佐賀', '52', 'B1', '5.67', '39.76', '0.00', '0.00', '58', '新規', '11', '17.65']
['4', '4908', '上田龍星', '25', '大阪', '51', 'A1', '6.81', '47.42', '6.03', '42.51', '64', '22.22', '28', '27.78']
['5', '5010', '宇留田翔', '24', '三重', '55', 'B1', '4.03', '21.05', '3.89', '15.79', '81', '新規', '71', '新規']
